price,size,rooms,baths,parking,neighborhood
270000000,180.0,5,2.0,0,medellin aranjuez
280000000,168.0,5,3.0,0,medellin centro
350000000,95.0,3,2.0,0,medellin belen rosales
350000000,103.0,3,3.0,1,medellin la castellana
310000000,95.0,3,2.0,0,medellin la castellana
310000000,95.0,3,3.0,0,medellin la mota
350000000,95.0,3,2.0,1,medellin belen
350000000,103.0,3,2.0,0,medellin el poblado
260000000,140.0,4,3.0,0,medellin america
240000000,102.0,3,2.0,0,medellin belen
290000000,170.0,5,2.0,0,medellin las palmas
300000000,124.0,4,2.0,0,medellin simon bolivar
250000000,144.0,5,3.0,0,medellin el salvador
298000000,125.0,3,2.0,0,medellin san joaquin
250000000,140.0,5,2.0,0,medellin belen
240000000,118.0,4,2.0,0,medellin salvador
350000000,200.0,4,3.0,0,medellin simon bolivar
250000000,144.0,3,2.0,0,medellin robledo
235000000,119.0,3,3.0,0,medellin almeria
270000000,114.0,4,2.0,0,medellin florida nueva
265000000,198.0,4,2.0,0,medellin san javier
190000000,100.0,3,2.0,0,medellin america
305000000,168.0,4,2.0,0,medellin robledo
250000000,130.0,4,3.0,0,medellin calasanz
350000000,112.0,3,2.0,1,medellin belen la palma
185000000,120.0,3,2.0,1,itagui guayabal
350000000,112.0,3,2.0,1,medellin belen la palma
330000000,184.0,5,2.0,0,medellin simon bolivar
310000000,97.0,3,2.0,2,sabaneta centro
339000000,99.0,3,2.0,2,sabaneta san jose
345000000,90.0,3,2.0,1,medellin laureles
350000000,100.0,3,3.0,1,medellin laureles
279000000,200.0,5,2.0,0,medellin aranjuez
280000000,117.0,4,3.0,2,envigado loma del escobero
260000000,121.0,3,2.0,1,medellin la castellana
335000000,92.0,3,3.0,1,envigado alcala
335000000,110.0,3,2.0,1,envigado alcala
345000000,121.0,3,3.0,1,envigado cerca al colombiano
290000000,100.0,3,2.0,1,sabaneta cerca al exito
335000000,107.0,3,2.0,1,envigado alcala
275000000,100.0,4,3.0,1,medellin la castellana
250000000,122.0,4,2.0,0,medellin cordoba
270000000,97.0,4,3.0,1,medellin laureles
260000000,110.0,3,2.0,1,envigado el consuelo
290000000,104.0,4,3.0,1,medellin la pilarica
260000000,110.0,3,2.0,1,envigado mesa
340000000,90.0,3,2.0,0,medellin belen
190000000,91.5,4,2.0,0,medellin la america
300000000,99.0,3,2.0,1,envigado loma los almendros
315000000,93.5,3,2.0,2,envigado cerca cc city plaza
350000000,90.0,3,2.0,1,envigado zuñiga
270000000,158.0,5,3.0,0,envigado mesa
230000000,102.0,3,2.0,0,envigado trianon
198000000,100.0,3,2.0,0,envigado cerca colegio la salle
350000000,96.0,3,2.0,1,medellin belen
255000000,90.0,3,2.0,1,envigado alto de las flores
300000000,193.0,4,2.0,1,medellin la america
350000000,115.0,3,3.0,1,envigado zuñiga
310000000,115.0,4,3.0,1,medellin laureles
345000000,132.0,4,2.0,1,medellin los colores
310000000,108.0,3,3.0,2,medellin laureles
214000000,103.0,3,2.0,0,medellin santa monica ii
185000000,94.0,3,2.0,0,medellin belen san bernardo
260000000,112.0,3,3.0,0,sabaneta parque
205000000,110.0,3,2.0,1,medellin guayabal
350000000,136.0,3,3.0,0,envigado la magnolia
200000000,90.0,3,2.0,0,itagui parque
330000000,94.0,3,2.0,1,envigado señorial
290000000,200.0,5,2.0,0,medellin aranjuez
192000000,93.0,3,2.0,0,sabaneta holanda
275000000,93.0,3,2.0,1,medellin suroriente
215000000,105.0,3,2.0,1,medellin buenos aires
240000000,110.0,3,2.0,1,envigado trianon
300000000,125.0,3,3.0,0,itagui viviendas del sur
350000000,107.0,3,3.0,0,envigado loma de las brujas
340000000,96.0,3,2.0,2,envigado camino verde
350000000,110.0,4,3.0,1,medellin laureles
335000000,90.0,3,2.0,1,la-estrella la aldea
300000000,120.0,4,2.0,1,envigado el trianon
275000000,110.0,3,2.0,2,medellin simon bolivar
320000000,92.0,3,2.0,0,medellin belen
272000000,143.0,4,2.0,0,medellin villa hermosa
270000000,116.0,5,2.0,0,medellin buenos aires
340000000,90.0,3,2.0,0,medellin laureles
215000000,91.0,3,3.0,1,sabaneta holanda
325000000,102.0,4,3.0,0,medellin laureles
319000000,118.0,3,2.0,2,envigado chingui
220000000,90.0,3,2.0,0,medellin las playas
290000000,105.0,4,3.0,1,medellin la pilarica
310000000,118.0,3,3.0,0,medellin la floresta
260000000,112.0,4,2.0,1,medellin suroccidente
290000000,117.0,3,2.0,2,envigado loma del escobero
160000000,90.0,3,2.0,0,itagui la aldea
300000000,150.0,3,3.0,0,medellin bombona
315000000,100.0,3,3.0,1,medellin el poblado
230000000,105.0,3,2.0,1,medellin boston
280000000,117.0,4,2.0,1,envigado mesa
315000000,123.0,3,3.0,1,sabaneta aves marias
310000000,130.0,4,2.0,0,medellin belen
138000000,90.0,4,2.0,0,medellin manrique
300000000,103.0,3,2.0,0,envigado alcala
340000000,188.0,4,3.0,0,medellin laureles
310000000,140.0,4,3.0,0,medellin laureles
330000000,143.0,3,2.0,0,medellin los colores
255000000,139.0,4,3.0,0,medellin la america
338000000,106.0,3,3.0,1,envigado cumbres
290000000,120.0,3,3.0,1,envigado alquerias de san isidro
267000000,90.0,3,3.0,1,medellin loma de los bernal
350000000,98.0,3,2.0,2,medellin el poblado
180000000,98.0,3,2.0,0,medellin calasanz
250000000,96.0,3,2.0,1,medellin la america
350000000,120.0,3,3.0,2,medellin la mota
310000000,99.0,3,2.0,1,sabaneta aves maria
215000000,160.0,4,3.0,0,medellin las palmas
310000000,100.0,3,2.0,1,sabaneta aves marias
300000000,130.0,3,3.0,1,medellin belen los alpes
295000000,150.0,3,3.0,1,medellin la america
270000000,92.0,3,2.0,1,medellin belen
315000000,102.0,4,3.0,1,medellin loma de los bernal
330000000,101.0,3,2.0,2,sabaneta sabana alta
320000000,123.0,3,3.0,1,envigado dorado
310000000,140.0,4,3.0,0,medellin la florida
255000000,101.0,3,3.0,0,medellin simon bolivar
350000000,91.0,3,2.0,2,envigado loma de brujas
258000000,105.0,3,2.0,0,medellin belen
250000000,90.0,3,2.0,0,medellin la palma
220000000,102.0,3,2.0,0,envigado las flores
330000000,140.0,4,3.0,1,medellin castropol
175000000,115.0,3,2.0,0,medellin san antonio de prado
296000000,120.0,4,3.0,1,medellin la castellana
298000000,125.0,4,3.0,0,medellin san joaquin
350000000,120.0,3,2.0,1,medellin conquistadores
320000000,92.0,3,2.0,0,sabaneta aves maria
280000000,106.0,4,2.0,0,envigado san mateo
350000000,93.0,3,2.0,0,sabaneta centro
300000000,90.0,3,3.0,2,medellin san joaquin
350000000,170.0,4,3.0,1,medellin florida nueva
314000000,90.0,3,2.0,1,la-estrella la aldea
340000000,118.0,3,3.0,1,medellin calasanz
350000000,113.0,3,2.0,2,medellin la mota
270000000,95.0,3,3.0,0,envigado el dorado
298000000,106.0,3,2.0,1,sabaneta aves maria
290000000,90.0,3,2.0,1,sabaneta aves maria
260000000,134.0,5,3.0,0,medellin centro
300000000,116.0,3,2.0,0,envigado la paz
208000000,95.0,3,2.0,1,medellin santa monica
290000000,126.0,4,2.0,0,medellin carlos e restrepo
310000000,106.0,3,3.0,0,sabaneta aves marias
210000000,155.0,5,2.0,0,medellin manrique
280000000,110.0,3,2.0,0,medellin laureles
320000000,90.0,4,3.0,1,medellin laureles
200000000,96.0,3,2.0,0,itagui ditaires
240000000,130.0,4,2.0,0,envigado uribe angel
290000000,97.0,3,2.0,0,medellin simon bolivar
285000000,104.0,3,2.0,0,envigado alcala
243000000,140.0,5,3.0,0,medellin calasanz
220000000,100.0,3,2.0,0,envigado cerca exito y parque de envigado
270000000,90.0,3,2.0,1,medellin laureles
322000000,107.0,3,2.0,1,envigado andalucia
350000000,156.0,5,3.0,0,medellin floresta
295000000,90.0,3,2.0,1,medellin laureles
270000000,124.0,4,3.0,0,medellin carlos e restrepo
340000000,110.0,5,3.0,2,medellin belen la palma
290000000,184.0,5,2.0,0,medellin occidente
340000000,96.0,3,3.0,1,medellin simon bolivar
240000000,150.0,4,2.0,0,medellin el velodromo
280000000,96.5,4,2.0,2,envigado cerca cc city plaza
179000000,90.0,3,2.0,0,medellin belen
290000000,119.0,3,2.0,2,envigado cerca cc city plaza
285000000,90.0,3,2.0,0,medellin almerias
350000000,107.0,4,2.0,1,envigado el trianon
330000000,165.0,3,3.0,0,medellin belen
350000000,193.0,5,3.0,1,medellin santa monica
340000000,126.0,3,3.0,2,envigado zuñiga
290000000,93.0,4,2.0,1,medellin loma de los bernal
200000000,120.0,3,3.0,0,medellin girardot
325000000,102.0,3,3.0,0,envigado las vegas
350000000,93.0,3,2.0,1,envigado camino verde
320000000,95.0,3,2.0,1,envigado loma del escobero
299000000,131.0,4,3.0,0,medellin san javier
345000000,147.0,5,3.0,1,medellin calasanz
280000000,100.0,3,2.0,0,envigado la magnolia
150000000,150.0,5,2.0,0,medellin manrique
350000000,130.0,3,3.0,1,medellin los colores
322000000,107.0,3,2.0,1,envigado andalucia
210000000,95.0,4,3.0,0,medellin villa hermosa
150000000,100.0,4,2.0,0,medellin manrique
210000000,123.0,3,2.0,0,medellin centro
180000000,103.0,3,2.0,0,envigado el dorado
300000000,140.0,4,3.0,0,medellin belen san bernardo
335000000,160.0,3,3.0,2,medellin la mota
330000000,94.0,3,2.0,0,sabaneta sector aves maria
225000000,150.0,5,2.0,0,itagui itagui santamaria numero 2
280000000,127.0,4,2.0,0,medellin miravalle
250000000,111.0,4,2.0,0,medellin belen
340000000,93.0,3,2.0,1,sabaneta aves maria
300000000,101.0,3,2.0,1,envigado el dorado
290000000,119.0,3,2.0,0,medellin belen
340000000,112.0,3,2.0,1,medellin la floresta
150000000,120.0,4,2.0,0,envigado la mina parte baja
190000000,96.0,4,2.0,0,medellin belen las playas
290000000,126.0,4,2.0,0,envigado la magnolia
260000000,110.0,3,2.0,1,medellin laureles
310000000,92.0,3,2.0,1,envigado señorial
350000000,117.0,3,3.0,1,envigado envigado
350000000,93.0,4,3.0,1,medellin conquistadores
190000000,90.0,4,2.0,1,medellin el poblado
340000000,145.0,3,3.0,3,medellin san javier
140000000,135.0,5,2.0,0,medellin aranjuez
240000000,113.0,4,3.0,1,medellin la castellana
305000000,110.0,3,2.0,1,sabaneta aves maria
210000000,120.0,4,2.0,0,medellin villa hermosa
350000000,152.0,4,3.0,1,envigado alcala
340000000,102.0,3,3.0,0,envigado zuñiga
185000000,148.0,3,2.0,0,medellin el salvador
329300000,106.0,3,2.0,1,sabaneta alcaceres
265000000,105.0,4,3.0,0,envigado el trianon
298000000,100.0,3,2.0,1,medellin calasanz
325000000,94.0,3,2.0,1,medellin el poblado
177000000,120.0,3,2.0,0,itagui la finca
330000000,95.0,4,2.0,1,envigado señorial
335000000,100.0,3,3.0,1,medellin belen
340000000,112.0,3,2.0,1,envigado zuñiga
298000000,113.0,3,3.0,1,medellin laureles
200000000,120.0,3,3.0,1,medellin manrique central 1
275000000,96.0,3,3.0,0,medellin san joaquin
210000000,91.0,3,2.0,1,itagui ditaires
280000000,91.0,3,2.0,0,medellin la castellana
280000000,112.0,4,3.0,1,sabaneta entreamigos
290000000,111.0,3,2.0,1,envigado los naranjos
195000000,106.0,3,2.0,0,itagui santa maria
230000000,132.0,4,3.0,0,medellin buenos aires
350000000,140.0,3,2.0,1,medellin belen la gloria
350000000,94.0,3,2.0,1,sabaneta parque
250000000,136.0,3,2.0,0,medellin belen
215000000,90.0,3,3.0,0,medellin rodeo alto
320000000,94.0,3,2.0,1,medellin belen loma de los bernal
280000000,192.0,5,3.0,0,medellin buenos aires
320000000,168.0,4,3.0,0,medellin belen
340000000,100.0,3,2.0,1,sabaneta aves maria
305000000,95.0,3,2.0,0,envigado mesa
350000000,115.0,3,2.0,1,medellin simon bolivar
320000000,120.0,5,2.0,0,envigado alcala
300000000,94.0,3,2.0,0,sabaneta loma san jose
298000000,100.0,3,3.0,0,envigado el portal
340000000,103.0,3,3.0,1,medellin la castellana
250000000,120.0,4,3.0,0,medellin belen
230000000,116.0,3,3.0,0,medellin floresta
155000000,90.0,3,2.0,0,medellin robledo
260000000,200.0,5,2.0,0,medellin manrique central
335000000,160.0,4,2.0,1,medellin manrique central
280000000,127.0,4,2.0,0,medellin suroccidente
160000000,128.0,4,2.0,0,medellin san javier
260000000,165.0,5,3.0,0,itagui la gloria
255000000,95.0,3,2.0,1,medellin la america
228000000,103.0,3,2.0,1,medellin santa lucia
280000000,168.0,5,3.0,0,medellin centro
168000000,98.0,3,2.0,0,medellin robledo
175000000,91.0,3,2.0,0,medellin robledo
300000000,117.0,4,2.0,0,envigado alcala
220000000,115.0,4,2.0,0,medellin campo valdes
179000000,119.0,5,2.0,0,medellin san antonio de prado
290000000,91.0,3,2.0,1,la-estrella suramerica
350000000,99.0,3,2.0,2,sabaneta aves maria
350000000,114.0,3,3.0,1,envigado la inmaculada
300000000,100.0,3,2.0,0,sabaneta aves marias
205000000,94.0,4,2.0,1,medellin calasanz
350000000,103.0,3,2.0,1,envigado dorado
315000000,106.0,3,2.0,1,sabaneta aves maria
270000000,144.0,4,2.0,0,medellin santa fe
135000000,200.0,5,3.0,0,medellin san javier
270000000,137.0,3,2.0,0,medellin suroccidente
335000000,100.0,3,3.0,1,medellin laureles
265000000,129.0,3,2.0,1,medellin occidente
275000000,135.0,4,2.0,1,medellin belen san bernardo
350000000,108.0,3,2.0,1,medellin loma de los bernal
183000000,94.0,3,2.0,0,medellin belen san bernardo
285000000,90.0,3,2.0,0,medellin la castellana
350000000,160.0,4,2.0,0,sabaneta calle larga
320000000,101.0,3,2.0,1,medellin laureles
335000000,96.0,3,3.0,1,medellin la mota
300000000,101.0,3,2.0,0,envigado el dorado
325000000,90.0,4,3.0,1,medellin el poblado
295000000,118.0,3,3.0,0,sabaneta cerca al exito
349999995,91.0,3,2.0,2,envigado loma brujas
190000000,110.0,4,2.0,0,envigado san jose
315000000,159.0,5,3.0,1,medellin guayabal
275000000,102.0,4,2.0,1,itagui ditaires
310000000,90.0,3,2.0,1,medellin laureles
350000000,119.0,3,3.0,2,medellin loma de los bernal
220000000,129.0,3,2.0,0,medellin laureles
270000000,127.0,4,2.0,0,medellin belen
300000000,104.0,4,3.0,1,medellin la pilarica
350000000,98.0,3,3.0,2,medellin el poblado
300000000,112.0,5,3.0,0,medellin la america
320000000,99.0,3,2.0,1,sabaneta aves maria
310000000,90.0,3,2.0,1,la-estrella la-estrella
350000000,126.0,3,3.0,0,medellin conquistadores
348000000,135.0,3,3.0,1,medellin la floresta
300000000,101.0,3,3.0,0,medellin laureles
300000000,110.0,3,3.0,1,envigado el trianon
350000000,115.0,4,3.0,1,envigado zuñiga
230000000,90.0,4,2.0,0,envigado envigado
340000000,176.0,4,2.0,0,envigado alcala
225000000,104.0,4,3.0,0,envigado trianon
350000000,100.0,3,3.0,1,medellin belen loma de los bernal
160000000,94.0,4,3.0,0,medellin robledo
210000000,105.0,3,2.0,0,medellin miraflores
210000000,108.0,3,2.0,0,medellin buenos aires
158000000,90.0,4,2.0,1,medellin boston
345000000,90.0,3,2.0,1,la-estrella la aldea
315000000,123.0,3,2.0,0,medellin loma del indio
130000000,93.0,3,3.0,0,medellin villa nueva
250000000,115.0,3,2.0,1,medellin miravalle
218000000,120.0,4,3.0,0,medellin noroccidente
300000000,145.0,3,2.0,1,medellin la pilarica
320000000,100.0,3,2.0,1,sabaneta sabaneta
230000000,118.0,4,2.0,0,medellin el salvador
268000000,101.0,3,2.0,2,medellin las palmas
210000000,105.0,3,2.0,1,medellin nororiente
270000000,105.0,3,2.0,0,envigado los naranjos
260000000,110.0,3,2.0,0,envigado el consuelo
270000000,155.0,5,2.0,0,medellin calasanz
260000000,110.0,3,3.0,1,medellin la castellana
220000000,108.0,4,2.0,0,medellin campo valdes
210000000,150.0,3,2.0,0,medellin manrique
220000000,123.0,4,2.0,0,medellin la america
290000000,95.0,4,3.0,2,medellin san joaquin
340000000,93.0,4,3.0,1,medellin el poblado
193000000,94.0,3,2.0,0,medellin belen
300000000,95.0,3,2.0,1,envigado la cuenca
310000000,92.0,3,2.0,1,medellin loma de los bernal
310000000,96.0,3,2.0,1,medellin la mota
210000000,100.0,4,2.0,0,medellin robledo
248000000,110.0,4,3.0,1,medellin centro
300000000,93.0,3,2.0,0,envigado pontevedra
190000000,100.0,4,2.0,0,envigado el dorado
350000000,127.0,4,2.0,3,envigado el portal
230000000,143.0,4,2.0,1,medellin buenos aires
260000000,99.5,4,3.0,1,medellin el poblado
270000000,95.0,3,2.0,0,medellin la floresta
300000000,90.0,3,2.0,1,envigado barrio mesa
190000000,96.0,3,2.0,2,medellin santa lucia
205000000,96.0,3,2.0,1,medellin rodeo alto
350000000,92.0,3,2.0,1,envigado envigado la paz
200000000,90.0,4,2.0,0,medellin la america
240000000,110.0,3,2.0,1,envigado el salado
350000000,95.0,3,2.0,1,medellin belen rosales
280000000,96.0,4,2.0,2,la-estrella suramerica
295000000,114.0,3,2.0,1,medellin santa monica
245000000,90.0,3,2.0,1,medellin santa monica
250000000,95.0,3,3.0,1,medellin estadio
330000001,101.0,3,2.0,1,sabaneta san jose
320000001,117.0,3,2.0,1,sabaneta aves maria
260000000,100.0,4,3.0,1,medellin santa maria de los angeles
220000001,93.0,3,2.0,0,itagui el carmelo
340000001,97.0,4,3.0,2,sabaneta san jose
320000001,90.0,3,2.0,1,sabaneta aves maria
320000001,130.0,3,2.0,1,sabaneta aliadas
320000001,160.0,3,2.0,1,sabaneta alcazares
290000001,90.0,3,2.0,1,sabaneta aves maria
235000000,137.0,4,2.0,0,medellin buenos aires
320000000,95.0,3,2.0,1,medellin calasanz
160000000,120.0,4,2.0,0,itagui san francisco
150000000,90.0,4,2.0,0,medellin robledo
328000000,90.0,3,2.0,1,la-estrella la aldea
340000000,93.0,3,3.0,2,medellin trianon envigado
320000000,174.0,3,3.0,1,medellin simon bolivar
300000000,97.0,3,3.0,1,medellin loma de los bernal
220000000,110.0,4,2.0,1,medellin la margaritas
240000000,94.0,3,3.0,1,medellin noroccidente
190000000,91.0,3,2.0,0,medellin campo valdes 1
200000000,91.0,3,2.0,0,medellin la gloria
195000000,95.0,3,2.0,0,medellin la america
200000000,94.0,3,2.0,1,medellin calasanz
310000000,107.0,3,3.0,2,medellin barrio triste
340000000,113.0,3,3.0,2,envigado envigado alto de las flores
190000000,108.0,3,2.0,0,itagui itagui santa maria
290000000,115.0,3,2.0,1,envigado envigado la mesa
295000000,90.0,3,2.0,1,la-estrella la aldea
285000000,114.0,4,2.0,0,medellin barrio triste
350000000,90.0,3,2.0,1,la-estrella la aldea
345000000,100.0,3,2.0,2,envigado envigado loma del chocho
350000000,117.0,3,3.0,1,sabaneta sabaneta aves maria
230000000,120.0,3,2.0,0,medellin la america
305000000,93.0,3,3.0,1,sabaneta sabaneta centro
340000000,93.0,3,2.0,1,sabaneta sabaneta parque
340000000,90.0,3,2.0,1,envigado envigado las antillas
330000000,92.0,3,2.0,1,envigado cumbres
320000000,91.0,3,2.0,1,sabaneta holanda
285000000,100.0,3,2.0,1,medellin laureles
350000000,101.0,3,2.0,1,medellin la aguacatala
340000000,90.0,3,2.0,2,envigado lomas de las brujas
298000000,100.0,3,3.0,1,envigado el portal
340000000,182.0,4,3.0,1,envigado el trianon
350000000,140.0,4,2.0,1,envigado envigado
330000000,94.0,3,2.0,2,envigado la cuenca
300000000,100.0,3,2.0,1,medellin belen loma de los bernal
325000000,95.0,3,3.0,1,envigado envigado
320000000,140.0,4,3.0,1,medellin laureles
296000000,140.0,4,3.0,0,medellin la america
290000000,98.0,3,2.0,0,envigado san rafael
320000000,98.0,3,2.0,1,medellin belen loma de los bernal
300000000,90.0,3,2.0,1,medellin la castellana
265000000,96.0,3,2.0,1,envigado loma del escobero
190000000,110.0,4,3.0,0,medellin centro
350000000,114.0,3,3.0,1,envigado la inmaculada
